dataset_name,hash_strategy,n,load_factor,m,iterations,insert_time_mean,insert_time_std,search_time_mean,search_time_std,max_chain_length_mean,max_chain_length_std,collision_count_mean,collision_count_std
uniform,fixed,5000,1.0,5000,40,905.4105,0.0,913.9825,0.0,6,0.0,1638,0.0
uniform,universal,5000,1.0,5000,40,1080.4945,0.0,1042.6325,0.0,5,0.0,1592,0.0
uniform,fixed,5000,1.0,5000,50,830.1,0.0,816.8936,0.0,6,0.0,1638,0.0
uniform,universal,5000,1.0,5000,50,878.478,0.0,1007.4948,0.0,5,0.0,1592,0.0
sorted,fixed,5000,1.0,5000,10,753.552,0.0,905.798,0.0,1,0.0,0,0.0
sorted,universal,5000,1.0,5000,10,852.8,0.0,958.928,0.0,2,0.0,1233,0.0
sorted,fixed,5000,1.0,5000,20,734.269,0.0,700.386,0.0,1,0.0,0,0.0
sorted,universal,5000,1.0,5000,20,809.415,0.0,763.018,0.0,2,0.0,1233,0.0
sorted,fixed,5000,1.0,5000,30,800.144,0.0,780.5686666666667,0.0,1,0.0,0,0.0
sorted,universal,5000,1.0,5000,30,901.7233333333334,0.0,848.2533333333333,0.0,2,0.0,1233,0.0
sorted,fixed,5000,1.0,5000,40,941.326,0.0,1068.6115,0.0,1,0.0,0,0.0
sorted,universal,5000,1.0,5000,40,949.276,0.0,1057.441,0.0,2,0.0,1233,0.0
sorted,fixed,5000,1.0,5000,50,831.2244,0.0,934.2832,0.0,1,0.0,0,0.0
sorted,universal,5000,1.0,5000,50,1261.0476,0.0,963.69,0.0,2,0.0,1233,0.0
adversarial,fixed,5000,1.0,5000,10,44049.078,0.0,40575.956,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,1.0,5000,10,1546.492,0.0,1275.204,0.0,2,0.0,1459,0.0
adversarial,fixed,5000,1.0,5000,20,32856.871,0.0,35975.405,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,1.0,5000,20,850.279,0.0,933.61,0.0,2,0.0,1459,0.0
adversarial,fixed,5000,1.0,5000,30,34795.20333333333,0.0,33108.56333333333,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,1.0,5000,30,918.88,0.0,910.14,0.0,2,0.0,1459,0.0
adversarial,fixed,5000,1.0,5000,40,31028.044,0.0,34144.6915,0.0,5000,0.0,4999,0.0
