method,distribution,n,m,load_factor,num_hash_functions,insert_time_total_mean,insert_time_total_median,insert_time_total_std,insert_time_per_op_mean,insert_time_per_op_median,insert_time_per_op_std,search_time_total_mean,search_time_total_median,search_time_total_std,search_time_per_op_mean,search_time_per_op_median,search_time_per_op_std,search_comparisons_total_mean,search_comparisons_total_median,search_comparisons_total_std,search_comparisons_avg_mean,search_comparisons_avg_median,search_comparisons_avg_std,max_chain_length_mean,max_chain_length_median,max_chain_length_std,average_chain_length_mean,average_chain_length_median,average_chain_length_std,non_empty_buckets_mean,non_empty_buckets_median,non_empty_buckets_std,empty_buckets_mean,empty_buckets_median,empty_buckets_std,chain_length_stdev_mean,chain_length_stdev_median,chain_length_stdev_std,collision_count_mean,collision_count_median,collision_count_std,unique_keys_mean,unique_keys_median,unique_keys_std
fixed,sorted,5000,6667,0.75,1,0.006423769599738686,0.006422563001251547,4.762523078528468e-05,1.2847539199477373e-06,1.2845126002503094e-06,9.525046157056999e-09,0.0016481487333900684,0.001632874998904299,4.706487118811797e-05,6.592594933560273e-07,6.531499995617196e-07,1.882594847524718e-08,2500.0,2500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7499625018749062,0.7499625018749062,0.0,5000.0,5000.0,0.0,1667.0,1667.0,0.0,0.4330343492800975,0.4330343492800975,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0
fixed,sorted,5000,10000,0.5,1,0.00883175559999169,0.006405895997886546,0.011300150119187578,1.766351119998338e-06,1.2811791995773092e-06,2.2600300238375154e-06,0.0017880847333193136,0.0016318335001415107,0.00036277630144062917,7.152338933277255e-07,6.527334000566043e-07,1.4511052057625162e-07,2500.0,2500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,5000.0,5000.0,0.0,5000.0,5000.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0
fixed,sorted,10000,5000,2.0,1,0.012894751499819298,0.012878645999080618,7.457158732621959e-05,1.2894751499819298e-06,1.2878645999080617e-06,7.457158732621983e-09,0.0036022028001752916,0.003590937500121072,6.871755812688152e-05,7.204405600350582e-07,7.181875000242144e-07,1.3743511625376285e-08,7501.0,7511.5,34.98866811628763,1.5002,1.5023,0.006997733623257571,2.0,2.0,0.0,2.0,2.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,10000.0,10000.0,0.0
fixed,sorted,10000,10000,1.0,1,0.012797124900316703,0.012792853500286583,0.00012040198563546647,1.2797124900316703e-06,1.2792853500286583e-06,1.2040198563546553e-08,0.0032787138330604647,0.0032729374997870764,5.619572928193778e-05,6.55742766612093e-07,6.545874999574152e-07,1.1239145856387588e-08,5000.0,5000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0
fixed,sorted,10000,13334,0.75,1,0.012875640299535007,0.012874916998043773,6.320916597153033e-05,1.2875640299535008e-06,1.2874916998043772e-06,6.3209165971530005e-09,0.0033591778330446685,0.003324500497910776,9.267052094479324e-05,6.718355666089338e-07,6.649000995821552e-07,1.8534104188958643e-08,5000.0,5000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7499625018749062,0.7499625018749062,0.0,10000.0,10000.0,0.0,3334.0,3334.0,0.0,0.4330343492800975,0.4330343492800975,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0
fixed,sorted,10000,20000,0.5,1,0.012938959700113628,0.012948728999617742,7.754195376184882e-05,1.2938959700113627e-06,1.2948728999617743e-06,7.754195376184877e-09,0.003418148566803817,0.0034084789986081887,9.854875531315334e-05,6.836297133607635e-07,6.816957997216377e-07,1.9709751062630714e-08,5000.0,5000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0
fixed,uniform,1000,500,2.0,1,0.0012776430333663786,0.0012780210017808713,8.306080276426304e-06,1.2776430333663788e-06,1.2780210017808713e-06,8.306080276426263e-09,0.0003678083001432242,0.0003679790006572148,3.862036691471227e-06,7.356166002864484e-07,7.359580013144296e-07,7.724073382942477e-09,944.9,945.5,31.037630108605587,1.8898000000000001,1.891,0.06207526021721114,6.766666666666667,7.0,0.7279320417946064,1.9029999999999998,1.904,0.012980090855640829,433.73333333333335,434.5,6.822545451426575,66.26666666666667,65.5,6.822545451426586,1.3056647222868583,1.3028936948407384,0.042358482140204844,517.7666666666667,516.5,8.479928973894713,951.5,952.0,6.490045427820384
fixed,uniform,1000,1000,1.0,1,0.0012783291665982687,0.001268521000383771,3.1895923685694615e-05,1.2783291665982687e-06,1.2685210003837709e-06,3.18959236856946e-08,0.0003483402332979798,0.00034570850039017387,1.570947667071162e-05,6.966804665959595e-07,6.914170007803476e-07,3.141895334142322e-08,710.4,708.0,19.193389666667827,1.4207999999999998,1.416,0.03838677933333566,5.0,5.0,0.6432675209026769,0.9514999999999999,0.952,0.006490045427820414,632.3,633.0,9.146885658046633,367.7,367.0,9.146885658046644,0.9272444325038719,0.9267332219999034,0.018330182117329813,319.2,320.0,9.102481662370598,951.5,952.0,6.490045427820384
fixed,uniform,1000,1334,0.75,1,0.0017933012996460699,0.0013010624988964992,0.001358841618224225,1.79330129964607e-06,1.301062498896499e-06,1.358841618224225e-06,0.0006382735994217607,0.00035100049899483565,0.0009053666198432315,1.2765471988435214e-06,7.020009979896713e-07,1.8107332396864635e-06,652.5333333333333,653.5,13.637507440709326,1.3050666666666666,1.307,0.02727501488141872,4.2,4.0,0.5508613944197478,0.7132683658170914,0.7136431784107946,0.004865101520105244,703.7333333333333,705.5,9.584230342827096,630.2666666666667,628.5,9.584230342827096,0.8021358613205634,0.8023685536454447,0.012549638941057454,247.76666666666668,246.5,8.857816860842735,951.5,952.0,6.490045427820384
fixed,uniform,1000,2000,0.5,1,0.0012503401998401388,0.0012439790007192641,2.6069202746882394e-05,1.2503401998401387e-06,1.243979000719264e-06,2.606920274688239e-08,0.0003447623335280999,0.00033585399978619535,3.2302363575625264e-05,6.895246670561997e-07,6.717079995723907e-07,6.460472715125053e-08,594.9,593.0,12.782935823818493,1.1897999999999997,1.186,0.025565871647636986,3.6333333333333333,4.0,0.5560534167675355,0.47574999999999995,0.476,0.003245022713910207,787.2666666666667,786.0,11.107417010433984,1212.7333333333333,1214.0,11.107417010434,0.6556688490633676,0.6579868019226891,0.01017698728803316,164.23333333333332,165.5,9.863493587321196,951.5,952.0,6.490045427820384
fixed,uniform,5000,2500,2.0,1,0.006627079300111897,0.0065879580015462125,0.00027482022426292713,1.3254158600223794e-06,1.3175916003092425e-06,5.496404485258557e-08,0.001956022233692541,0.0019529790006345138,4.2876645554772305e-05,7.824088934770164e-07,7.811916002538055e-07,1.715065822190894e-08,4744.5,4759.0,50.31469929868648,1.8978,1.9036,0.020125879719474587,7.766666666666667,8.0,0.6789105539243627,1.9022933333333334,1.9016,0.006337569061493195,2163.4,2161.5,12.861597476797819,336.6,338.5,12.861597476797833,1.3139209380068562,1.3106190012081957,0.019643811007018598,2592.3333333333335,2594.5,18.67754198797697,4755.733333333334,4754.0,15.843922653732985
fixed,uniform,5000,5000,1.0,1,0.006267647233350241,0.006262021001020912,3.1702813349469246e-05,1.2535294466700482e-06,1.2524042002041824e-06,6.3405626698938566e-09,0.0017242319666062637,0.001718875000733533,2.4703284510310267e-05,6.896927866425055e-07,6.875500002934132e-07,9.881313804124119e-09,3556.7,3560.5,35.11473803954989,1.42268,1.4242,0.014045895215819882,5.4,5.0,0.6214554662658652,0.9511466666666667,0.9508,0.0031687845307465973,3161.8333333333335,3162.0,23.02634672887042,1838.1666666666667,1838.0,23.026346728870404,0.9274355968097172,0.9264069237178245,0.010513985933542044,1593.9,1589.5,25.682880384170065,4755.733333333334,4754.0,15.843922653732985
