method,distribution,n,m,load_factor,num_hash_functions,trial,insert_time_total,insert_time_per_op,search_time_total,search_time_per_op,search_comparisons_total,search_comparisons_avg,max_chain_length,average_chain_length,non_empty_buckets,empty_buckets,chain_length_stdev,collision_count,unique_keys,p,coefficients
fixed,uniform,1000,2000,0.5,1,22,0.0012648339979932643,1.2648339979932644e-06,0.00034141600190196186,6.828320038039237e-07,589,1.178,3,0.483,793,1207,0.6638606781546863,173,966,,
universal,uniform,1000,2000,0.5,3,22,0.002499833000911167,2.499833000911167e-06,0.0009126660006586462,1.8253320013172925e-06,803,1.606,4,0.483,788,1212,0.6780199112120529,178,966,2.305843009213694e+18,"[[287886780813115929, 1413457234261051687], [1236295213923302512, 1583790892526252416], [469264712334336849, 619461346342472605]]"
fixed,uniform,1000,2000,0.5,1,23,0.001240166002389742,1.240166002389742e-06,0.00033633400016697124,6.726680003339424e-07,594,1.188,4,0.4745,783,1217,0.6537199323869511,166,949,,
universal,uniform,1000,2000,0.5,3,23,0.002475583001796622,2.475583001796622e-06,0.0009244169996236451,1.8488339992472902e-06,853,1.706,4,0.4745,767,1233,0.6836298340476372,182,949,2.305843009213694e+18,"[[666030003530279332, 1185754838603315180], [507164280403988863, 1057119984642882112], [1021713661893975990, 2137083730657759889]]"
fixed,uniform,1000,2000,0.5,1,24,0.0012449169989849906,1.2449169989849907e-06,0.00033845799771370366,6.769159954274074e-07,605,1.21,4,0.4765,770,1230,0.6733852908996454,183,953,,
universal,uniform,1000,2000,0.5,3,24,0.0025017920015670825,2.5017920015670826e-06,0.0009234170029230881,1.8468340058461762e-06,970,1.94,4,0.4765,741,1259,0.709540520336929,212,953,2.305843009213694e+18,"[[719391770955253926, 2130106160647316609], [1814591772010625413, 678012837864961736], [2256121436648175771, 1806161501175307684]]"
fixed,uniform,1000,2000,0.5,1,25,0.001243874998181127,1.243874998181127e-06,0.0003315419999125879,6.630839998251758e-07,620,1.24,4,0.4765,785,1215,0.6591265053083513,168,953,,
universal,uniform,1000,2000,0.5,3,25,0.002481333001924213,2.481333001924213e-06,0.0009221669970429502,1.8443339940859005e-06,888,1.776,5,0.4765,727,1273,0.730375074875916,226,953,2.305843009213694e+18,"[[267692963849940753, 941673545738002381], [1078297968137412989, 615313745506248579], [1375102846946731697, 1124764272089465404]]"
fixed,uniform,1000,2000,0.5,1,26,0.0012466669977584388,1.246666997758439e-06,0.000328874997649109,6.57749995298218e-07,590,1.18,4,0.4745,783,1217,0.6605677482287491,166,949,,
universal,uniform,1000,2000,0.5,3,26,0.002476416000718018,2.476416000718018e-06,0.0009305410021624994,1.8610820043249987e-06,868,1.736,4,0.4745,747,1253,0.695952404981835,202,949,2.305843009213694e+18,"[[1075367493781816306, 1590101887495472611], [1902892487837865007, 1154722482783782897], [1398969667391390162, 561164263128564704]]"
fixed,uniform,1000,2000,0.5,1,27,0.0012465830004657619,1.2465830004657618e-06,0.0003378330002306029,6.756660004612058e-07,607,1.214,3,0.4775,782,1218,0.6636970317848347,173,955,,
universal,uniform,1000,2000,0.5,3,27,0.002497084002243355,2.497084002243355e-06,0.0009364580000692513,1.8729160001385025e-06,853,1.706,3,0.4775,779,1221,0.6689497365273418,176,955,2.305843009213694e+18,"[[86018572855962195, 1847883699258444581], [153743650771889609, 794633789185287595], [2121092647333014343, 2013162642849706046]]"
fixed,uniform,1000,2000,0.5,1,28,0.001246124997123843,1.2461249971238432e-06,0.0003350410006532911,6.700820013065823e-07,599,1.198,4,0.4805,808,1192,0.6415759892639374,153,961,,
universal,uniform,1000,2000,0.5,3,28,0.0024892920009733643,2.4892920009733643e-06,0.0009292079994338565,1.858415998867713e-06,861,1.722,4,0.4805,768,1232,0.6896519049491562,193,961,2.305843009213694e+18,"[[273089160051860230, 1621121173616640907], [1037773347474994553, 742865219208374151], [246540013351488701, 1890370731478794172]]"
fixed,uniform,1000,2000,0.5,1,29,0.0012440830032574013,1.2440830032574012e-06,0.0003358329995535314,6.716659991070628e-07,598,1.196,3,0.476,788,1212,0.6530114853507555,164,952,,
